1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.000143225,-0.000116764,-2.82E-05,4.00E-05,6.14E-05,7.59E-05,9.94E-05,0.000141422,0.000198146,0.0002264,0.000225203,0.000206347,0.000141581,6.90E-05,1.43E-05,-3.82E-05,-8.21E-05,-0.00011126,-0.00011264,-9.27E-05,-5.45E-05,-1.03E-05,2.59E-05,9.08E-05,0.000206832,0.00029219,0.000347677,0.000422481,0.00046907,0.00046881,0.000411425,0.000338956,0.000273868,0.000130016,-5.27E-05,-0.000150172,-0.000141613,-0.000110824,-5.43E-05,-1.69E-05,-2.04E-06,-3.93E-06,-8.83E-06,-8.55E-06,3.96E-06,-3.20E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.000106699,-1.07E-05,0.000111245,0.000280427,0.00043536,0.000523915,0.000542478,0.000514098,0.000433166,0.000313262,0.000212152,0.000129809,5.64E-05,1.74E-05,-7.98E-06,-2.30E-05,-1.51E-05,2.62E-05,6.24E-05,6.96E-05,5.84E-05,6.98E-05,0.000167978,0.000370853,0.000574793,0.000744921,0.000842277,0.000847682,0.000815572,0.000725503,0.000577966,0.000410938,0.000245538,8.54E-05,-3.33E-05,-8.43E-05,-7.14E-05,-6.41E-06,-3.29E-07,-4.46E-05,-5.11E-05,-1.21E-05,-2.25E-05,3.75E-05,4.46E-05,2.88E-05,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.14E-05,2.66E-05,0.000112514,0.000314282,0.00047666,0.000562208,0.00054783,0.00045416,0.000335282,0.00021195,0.000128095,9.62E-05,5.94E-05,3.15E-05,2.49E-05,3.06E-05,5.50E-05,0.000105872,0.000149137,0.000139598,0.000110635,0.000140585,0.000250745,0.000420264,0.000637282,0.000860019,0.000930492,0.00087941,0.000807384,0.000709005,0.000538991,0.000334914,0.000205241,0.000114327,-2.35E-05,-0.000145236,-0.000152122,-7.16E-05,-2.40E-05,-5.75E-05,-5.99E-05,-2.29E-05,-5.49E-06,2.04E-05,8.65E-05,0.000146931,NaN,NaN,NaN,NaN,NaN,6.44E-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.21E-05,6.08E-05,0.000142816,0.000254022,0.000296019,0.000287129,0.000249243,0.000194466,0.000129504,5.70E-05,1.44E-05,4.79E-05,8.58E-05,8.15E-05,7.24E-05,7.07E-05,6.98E-05,8.00E-05,9.41E-05,9.15E-05,0.000115496,0.000191353,0.000268849,0.000364043,0.000513829,0.000645266,0.000664902,0.000588959,0.00048763,0.000370062,0.000226127,6.74E-05,-2.99E-05,-8.21E-05,-0.000174006,-0.000270014,-0.000277247,-0.000200299,-0.000100423,-5.52E-05,-3.32E-05,-2.59E-05,-2.07E-05,-6.53E-05,-5.34E-05,-1.82E-05,-3.21E-05,NaN,NaN,NaN,NaN,6.62E-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.03E-05,7.21E-05,0.000115336,9.95E-05,8.52E-05,3.51E-05,-2.08E-05,-2.73E-05,-2.87E-05,-5.05E-05,-5.46E-05,8.27E-06,8.76E-05,0.000122753,0.000125361,0.000110757,8.59E-05,7.03E-05,6.02E-05,5.18E-05,8.36E-05,0.00014566,0.000173766,0.000190015,0.000218034,0.000204352,0.000167891,9.16E-05,4.92E-06,-8.48E-05,-0.000209145,-0.000306943,-0.000327618,-0.000333543,-0.000320551,-0.000310995,-0.000285803,-0.000231525,-0.000150422,-5.88E-05,-2.82E-05,-5.19E-05,-7.15E-05,-0.000162055,-0.000234732,-0.000318529,-0.000214231,-0.000151027,NaN,NaN,NaN,0.000428212
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.81E-05,5.35E-05,7.29E-05,3.87E-05,-4.58E-05,-5.91E-05,-8.16E-05,-0.000145363,-0.00015449,-0.000109337,-6.85E-05,-3.92E-05,-2.62E-06,5.34E-05,9.89E-05,0.000110215,0.000102978,9.53E-05,9.62E-05,9.87E-05,8.33E-05,6.15E-05,6.30E-05,6.92E-05,6.94E-06,-0.000118317,-0.00023074,-0.000298469,-0.000370665,-0.000455084,-0.000513797,-0.000575357,-0.000556903,-0.000454118,-0.000360622,-0.000253801,-0.000215535,-0.000209674,-0.000159854,-4.80E-05,7.86E-05,7.95E-05,-2.68E-05,-0.00017149,-0.00028225,-0.000350909,-0.000389394,-0.000362884,-0.000295925,-0.000271005,4.30E-05,0.000318678,0.00059946
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000116486,8.80E-05,7.68E-05,2.42E-05,-4.88E-05,-8.45E-05,-0.00010577,-0.000148907,-0.000181226,-0.000157296,-8.29E-05,-2.14E-05,-3.00E-06,2.02E-05,3.78E-05,3.28E-05,3.86E-05,6.46E-05,9.59E-05,0.000111103,9.18E-05,4.87E-05,1.01E-05,-4.28E-05,-0.000192412,-0.000390646,-0.000515376,-0.00057447,-0.000633617,-0.00070197,-0.000730654,-0.000671497,-0.00055428,-0.000391261,-0.00019983,-0.000113708,-0.000117125,-4.66E-05,0.00011788,0.000360145,0.000518847,0.000472202,0.000223646,-2.75E-05,-0.000137314,-0.000144783,-0.000128061,-0.000114941,NaN,0.000224046,0.00061811,0.000887858,0.000680745
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.57E-05,7.69E-05,0.00010103,7.98E-05,2.49E-05,-4.64E-05,-9.61E-05,-0.000128618,-0.000176239,-0.000202687,-0.000153984,-7.17E-05,-1.16E-05,1.36E-05,3.52E-06,-2.26E-05,-1.74E-05,2.46E-05,7.53E-05,8.87E-05,6.11E-05,2.22E-05,-2.89E-05,-0.000124539,-0.000284888,-0.000460792,-0.000605897,-0.000681915,-0.00065561,-0.000610496,-0.000539363,-0.000368053,-0.000249783,-0.000181231,-8.07E-05,-8.37E-05,1.32E-05,0.000287258,0.000587148,0.000815815,0.000932898,0.000923006,0.000801772,0.000695993,0.000673245,0.000709431,0.000673929,0.000640366,0.000757008,0.000897758,0.00104645,0.000911897,0.000511198
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.33E-06,7.76E-05,0.000145036,0.000130642,5.32E-05,-6.19E-05,-0.000144175,-0.000183386,-0.000216373,-0.000228182,-0.000181514,-8.80E-05,-7.74E-06,9.61E-06,-1.18E-05,-2.74E-05,-1.44E-05,3.14E-05,7.03E-05,5.62E-05,2.20E-05,8.00E-07,-2.78E-05,-8.43E-05,-0.000167984,-0.000309767,-0.00050245,-0.000618507,-0.00056362,-0.000404191,-0.000234964,-4.19E-05,3.39E-05,-1.76E-05,-5.38E-05,-2.13E-05,0.000245515,0.000616808,0.00085896,0.000879169,0.000833029,0.000869807,0.001034026,0.001197189,0.001317394,0.001358433,0.00130338,0.001240291,0.001198821,0.001086345,0.00084896,0.000451965,0.000148563
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.38E-05,9.90E-05,0.000147448,9.32E-05,-5.90E-06,-0.000143684,-0.000253314,-0.000277252,-0.000255306,-0.000205234,-0.000116148,-2.19E-05,1.88E-05,-1.08E-06,-3.43E-05,-2.97E-05,1.10E-05,6.80E-05,8.92E-05,4.56E-05,1.23E-05,1.50E-05,9.85E-06,-2.50E-05,-7.31E-05,-0.00012374,-0.000240709,-0.000385801,-0.000443193,-0.000338027,-0.000131064,4.50E-05,0.000136769,0.000126666,7.75E-05,0.000203782,0.000506164,0.000763545,0.000807354,0.000628237,0.000440275,0.000384489,0.000541093,0.000724286,0.000856343,0.000926203,0.001014443,0.001051721,0.000954488,0.000772205,0.000463891,0.000109643,-4.48E-05
