1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.44E-05,-8.05E-05,-0.000129699,-0.000221892,-0.000201986,-5.92E-05,0.000104603,0.00019084,0.000186958,0.000152713,8.13E-05,-2.31E-05,-5.42E-05,1.90E-06,4.27E-05,-4.02E-06,-0.000117565,-0.000224144,-0.000194184,-4.13E-06,0.000121575,4.19E-05,-9.07E-05,-0.000133115,-5.63E-05,4.32E-05,0.000162082,0.000289764,0.000248722,9.22E-05,-6.81E-05,-0.000167331,-0.000177614,-6.82E-05,0.000185458,0.000375797,0.000200873,-0.00015684,-0.000217206,-1.64E-07,7.41E-05,-2.94E-06,-3.64E-05,-3.79E-05,-7.91E-05,-6.37E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.13E-05,9.82E-06,-9.80E-05,-9.40E-05,2.33E-05,0.000154408,0.000228981,0.000194846,9.47E-05,-4.79E-06,-0.00011515,-0.00014995,-6.46E-05,-6.23E-06,-4.95E-05,-0.000143873,-0.000219483,-0.000166903,2.48E-05,0.000149108,6.18E-05,-3.46E-05,2.56E-05,0.000145823,0.000187682,0.000279213,0.00036745,0.000255694,3.14E-05,-0.000183323,-0.00029077,-0.000335088,-0.000278124,2.33E-05,0.000322848,0.000205677,-0.000114175,-0.000169199,-5.58E-07,6.22E-05,1.49E-05,-4.20E-05,-3.05E-05,-5.98E-05,-7.11E-05,3.10E-06,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.02E-05,7.79E-05,8.13E-05,0.000143347,0.000198994,0.000222895,0.000181554,7.44E-05,-5.68E-05,-0.000144427,-0.000201757,-0.000221963,-0.000120554,-2.50E-05,-5.26E-05,-0.000130751,-0.000172474,-0.000103017,4.71E-05,0.000117608,3.90E-05,3.06E-05,0.000205659,0.00039077,0.000452053,0.000467158,0.000398716,0.000214975,-3.81E-05,-0.000329295,-0.00051543,-0.000541995,-0.000422665,-0.00012125,0.000188296,0.000151529,-6.38E-05,-0.000110407,-3.52E-05,2.18E-05,4.86E-05,-8.03E-06,1.38E-05,6.68E-06,-4.50E-05,-1.28E-05,NaN,NaN,NaN,NaN,NaN,0.000799009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.71E-05,9.57E-05,0.00023952,0.000311158,0.0002879,0.0002414,0.000114957,-3.51E-05,-0.000170994,-0.00024023,-0.000233913,-0.000219204,-0.000136806,-4.28E-05,-5.34E-05,-0.000116772,-0.000140719,-5.75E-05,6.53E-05,0.000100472,5.80E-05,0.000122342,0.000346217,0.000577893,0.000685581,0.000618111,0.00038231,0.000124833,-0.000152937,-0.00047759,-0.000715171,-0.000719743,-0.000515979,-0.000230575,2.65E-05,5.96E-05,-2.48E-05,-2.42E-06,1.53E-05,2.50E-05,7.21E-05,1.63E-05,1.33E-05,3.98E-05,7.91E-05,1.20E-05,-0.000108262,NaN,NaN,NaN,NaN,0.000929676
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000116419,0.000156624,0.000318324,0.000334592,0.000258516,0.000186155,7.99E-05,-6.17E-05,-0.000216411,-0.000283421,-0.000214022,-0.000138047,-9.02E-05,-4.16E-05,-6.06E-05,-0.000133959,-0.00016009,-6.52E-05,6.11E-05,0.000123104,0.000138191,0.000198198,0.000396348,0.000672585,0.000783893,0.00065304,0.000337565,2.74E-05,-0.000266909,-0.000616706,-0.000872748,-0.000841576,-0.000576546,-0.000273543,-2.55E-05,4.06E-05,2.21E-05,9.86E-05,0.000119666,8.86E-05,8.21E-05,2.48E-05,-2.15E-05,-3.18E-05,2.01E-05,4.27E-05,-1.56E-05,4.92E-05,NaN,NaN,NaN,0.001058721
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000225882,0.000162594,0.000186519,0.000271026,0.000291294,0.000248216,0.000124326,4.46E-05,-3.61E-05,-0.000193511,-0.000273119,-0.00017664,-6.15E-05,-1.91E-05,-9.05E-06,-6.35E-05,-0.000155734,-0.000179035,-7.37E-05,5.10E-05,0.000115428,0.000158308,0.000229557,0.000399537,0.000637783,0.000714065,0.000578275,0.000271133,-5.87E-05,-0.000345841,-0.000715067,-0.00097092,-0.000836006,-0.000533539,-0.0002174,5.33E-05,7.84E-05,5.82E-05,0.00015977,0.000226433,0.000172461,5.76E-05,-3.10E-05,-0.00012565,-0.00012635,-7.55E-05,3.00E-05,6.98E-05,7.83E-05,3.26E-05,-6.28E-05,0.000662388,0.001251945
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000242223,0.000158946,0.000155692,0.000181064,0.000232151,0.00024551,8.48E-05,-1.06E-06,-1.14E-05,-0.00012048,-0.000209848,-0.000146823,-3.41E-05,2.37E-05,1.71E-05,-6.04E-05,-0.000151596,-0.000167962,-5.75E-05,5.01E-05,8.26E-05,0.000121661,0.000217064,0.000346758,0.000475807,0.000541591,0.00048201,0.000204235,-0.000148419,-0.000428983,-0.000762503,-0.000945791,-0.000702949,-0.000362975,-5.26E-05,0.000135329,7.29E-05,9.98E-05,0.000302193,0.000426915,0.000246934,-6.28E-05,-0.000267339,-0.000311044,-0.000211623,-0.000101323,4.94E-05,0.000124503,NaN,0.000275325,0.000459541,0.000945928,0.001069853
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000196094,0.000137214,0.000138334,0.00012849,0.00017603,0.000201938,5.46E-05,-4.08E-05,-4.41E-05,-8.95E-05,-0.000128585,-8.89E-05,-6.35E-06,3.74E-05,2.79E-06,-7.13E-05,-0.000125209,-0.000117483,-1.74E-05,4.78E-05,4.61E-05,7.37E-05,0.000147491,0.000202898,0.000266143,0.000375638,0.000394733,0.00016177,-0.000181263,-0.000447774,-0.000693509,-0.000804106,-0.000570442,-0.000173513,6.97E-05,0.000134698,0.000172187,0.00033957,0.000612621,0.000689531,0.000311502,-0.000245254,-0.000560722,-0.000489942,-0.000230499,-6.94E-05,5.37E-05,0.000231694,0.000428881,0.000586889,0.000742172,0.000789776,0.000620839
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000201943,0.000194406,0.000168706,9.24E-05,9.15E-05,0.000112749,1.31E-06,-8.70E-05,-9.19E-05,-9.02E-05,-5.88E-05,1.36E-05,6.13E-05,4.39E-05,-2.35E-05,-8.66E-05,-9.96E-05,-6.23E-05,1.65E-05,3.24E-05,9.52E-06,3.74E-05,8.09E-05,9.29E-05,0.00011627,0.000187696,0.000232808,0.000151258,-5.71E-05,-0.000317584,-0.000516081,-0.00063909,-0.000552757,-0.000181074,6.75E-05,0.00023203,0.000504803,0.000721555,0.000860331,0.000789,0.000363861,-0.000189674,-0.000492637,-0.000424047,-0.000166571,-8.66E-05,-3.90E-05,0.000220171,0.000460597,0.00054901,0.000517137,0.000390849,0.000284495
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000289957,0.000308573,0.000191562,2.89E-05,-3.23E-05,-1.87E-05,-6.89E-05,-0.000112295,-9.44E-05,-5.32E-05,3.23E-05,0.000113618,0.000105606,2.91E-05,-4.34E-05,-7.52E-05,-5.67E-05,-1.05E-05,1.58E-05,-7.09E-06,-9.76E-06,3.17E-05,5.88E-05,4.91E-05,3.72E-05,2.37E-05,5.02E-05,7.45E-05,4.52E-05,-9.87E-05,-0.000293321,-0.000505706,-0.000571581,-0.000264461,6.29E-05,0.000462821,0.000912525,0.001032174,0.000893186,0.000643469,0.000290464,-4.27E-05,-0.000226329,-0.000212155,-6.33E-05,-7.69E-05,-7.26E-05,0.00014576,0.000298398,0.000254778,6.18E-05,-1.15E-05,0.000152848
